1;1;pending;17-02-2025;-
2;91;pending;26-01-2025;-
3;76;delivered;13-11-2025;01-10-2025
39;15;delivered;08-07-2025;10-07-2025
50;31;pending;24-04-2025;-
62;89;delivered;05-02-2025;09-02-2025
68;67;pending;10-04-2025;-
73;82;delivered;20-03-2025;01-10-2025
77;28;pending;25-01-2025;-
84;6;pending;20-02-2025;-
89;25;pending;13-10-2025;-
90;55;delivered;23-09-2025;01-10-2025
93;47;delivered;06-03-2025;07-03-2025
96;77;returned;03-04-2025;01-10-2025
109;41;delivered;04-10-2025;12-10-2025
130;11;delivered;14-09-2025;21-09-2025
131;66;delivered;12-03-2025;01-10-2025
138;65;delivered;04-03-2025;05-03-2025
172;74;delivered;04-05-2025;12-05-2025
177;10;delivered;12-06-2025;01-10-2025
182;6;delivered;16-04-2025;20-04-2025
193;57;pending;25-08-2025;-
212;26;pending;06-04-2025;-
231;98;pending;22-01-2025;-
233;15;returned;24-12-2025;29-12-2025
258;73;pending;06-11-2025;-
261;8;pending;01-10-2025;-
277;24;pending;22-08-2025;-
297;46;pending;11-05-2025;-
301;33;pending;21-03-2025;-
303;48;pending;21-11-2025;-
317;38;delivered;16-04-2025;23-04-2025
323;19;returned;07-04-2025;01-10-2025
361;37;returned;21-08-2025;27-08-2025
364;61;delivered;17-11-2025;22-11-2025
389;88;pending;04-12-2025;-
395;77;delivered;10-08-2025;14-08-2025
397;7;delivered;17-10-2025;01-10-2025
410;43;delivered;25-12-2025;01-01-2026
424;51;delivered;08-06-2025;14-06-2025
426;46;delivered;28-05-2025;07-06-2025
441;12;returned;26-11-2025;29-11-2025
442;13;returned;28-04-2025;03-05-2025
457;78;returned;21-09-2025;01-10-2025
459;29;delivered;06-05-2025;10-05-2025
462;46;pending;17-12-2025;-
469;24;pending;24-03-2025;-
490;86;returned;17-03-2025;19-03-2025
503;5;delivered;25-03-2025;04-04-2025
509;48;returned;23-06-2025;27-06-2025
510;49;delivered;01-06-2025;06-06-2025
526;68;delivered;19-01-2025;01-10-2025
530;54;delivered;09-05-2025;10-05-2025
531;20;returned;27-08-2025;03-09-2025
532;16;delivered;23-04-2025;25-04-2025
535;46;pending;24-07-2025;-
543;8;pending;22-03-2025;-
548;96;delivered;14-04-2025;24-04-2025
553;62;delivered;25-08-2025;01-10-2025
564;91;pending;20-04-2025;-
569;47;delivered;25-04-2025;30-04-2025
579;39;delivered;27-10-2025;01-10-2025
584;17;returned;21-09-2025;24-09-2025
586;39;delivered;09-10-2025;17-10-2025
607;4;pending;26-01-2025;-
613;100;pending;07-11-2025;-
621;85;delivered;16-06-2025;23-06-2025
629;25;delivered;24-08-2025;01-10-2025
644;24;delivered;15-05-2025;22-05-2025
647;26;delivered;28-09-2025;01-10-2025
658;23;pending;03-05-2025;-
664;64;pending;04-02-2025;-
668;37;pending;28-06-2025;-
679;27;returned;06-06-2025;01-10-2025
682;9;delivered;23-05-2025;28-05-2025
686;82;delivered;27-09-2025;05-10-2025
696;21;pending;08-08-2025;-
735;80;delivered;14-02-2025;17-02-2025
746;99;delivered;08-06-2025;09-06-2025
763;82;pending;13-06-2025;-
775;38;pending;27-02-2025;-
780;70;delivered;25-12-2025;30-12-2025
781;25;delivered;07-03-2025;09-03-2025
798;46;pending;13-01-2025;-
810;77;delivered;06-01-2025;16-01-2025
839;25;delivered;24-04-2025;04-05-2025
843;98;delivered;23-03-2025;28-03-2025
865;14;delivered;25-09-2025;05-10-2025
868;19;delivered;20-09-2025;25-09-2025
870;13;delivered;25-04-2025;29-04-2025
878;37;pending;28-08-2025;-
890;46;pending;15-02-2025;-
901;72;pending;01-03-2025;-
910;11;pending;01-05-2025;-
918;81;delivered;01-12-2025;11-12-2025
932;51;delivered;05-08-2025;06-08-2025
961;91;returned;23-03-2025;29-03-2025
963;3;pending;26-08-2025;-
969;4;returned;25-02-2025;04-03-2025
979;94;returned;06-02-2025;09-02-2025
