1;513;220
1;514;277
1;1;356
1;4;107
1;3;483
1;6;156
1;516;44
1;523;482
1;527;448
1;17;179
1;21;255
1;24;21
1;27;178
1;28;494
1;542;393
1;547;19
1;37;465
1;550;78
1;549;260
1;554;48
1;45;43
1;558;60
1;560;7
1;561;479
1;49;447
1;51;268
1;570;487
1;60;59
1;578;340
1;67;15
1;580;329
1;75;244
1;588;64
1;589;378
1;591;227
1;79;302
1;83;276
1;84;179
1;601;322
1;602;340
1;91;69
1;604;173
1;96;122
1;97;378
1;98;182
1;614;94
1;104;69
1;617;69
1;619;232
1;622;497
1;625;239
1;626;105
1;115;195
1;627;474
1;629;328
1;632;286
1;120;442
1;126;424
1;128;121
1;641;281
1;130;87
1;131;458
1;643;468
1;134;200
1;647;484
1;136;321
1;648;184
1;137;50
1;651;315
1;142;124
1;656;10
1;147;88
1;150;203
1;151;449
1;664;321
1;665;303
1;154;271
1;153;489
1;668;414
1;157;75
1;672;399
1;163;217
1;675;463
1;677;381
1;165;308
1;167;126
1;680;49
1;681;318
1;688;28
1;690;80
1;179;340
1;692;350
1;182;252
1;695;265
1;184;21
1;696;62
1;188;51
1;701;183
1;702;294
1;193;121
1;706;208
1;195;34
1;197;110
1;710;123
1;199;297
1;200;199
1;712;323
1;202;14
1;715;81
1;717;56
1;206;263
1;207;416
1;208;141
1;210;211
1;722;56
1;216;359
1;729;340
1;730;346
1;731;40
1;732;134
1;734;131
1;736;234
1;225;369
1;738;372
1;224;123
1;226;187
1;741;158
1;229;310
1;232;20
1;233;314
1;746;126
1;235;383
1;238;152
1;751;419
1;240;444
1;239;78
1;241;237
1;758;239
1;247;465
1;761;270
1;762;493
1;764;109
1;765;200
1;766;310
1;769;24
1;772;293
1;774;110
1;263;352
1;262;121
1;778;181
1;266;356
1;783;475
1;276;282
1;789;167
1;791;69
1;279;411
1;794;370
1;795;201
1;287;77
1;293;324
1;297;40
1;873;389
1;302;163
1;815;74
1;818;124
1;309;343
1;310;376
1;821;411
1;824;484
1;313;313
1;314;197
1;315;290
1;828;121
1;834;172
1;324;9
1;325;77
1;326;186
1;329;405
1;842;348
1;841;498
1;333;293
1;334;53
1;335;38
1;848;165
1;849;10
1;337;138
1;845;226
1;340;33
1;343;358
1;856;413
1;347;148
1;862;462
1;863;192
1;868;229
1;869;115
1;358;336
1;361;180
1;874;264
1;362;358
1;363;15
1;365;39
1;876;400
1;364;219
1;880;299
1;881;166
1;368;476
1;878;98
1;883;170
1;885;347
1;887;135
1;890;407
1;891;41
1;381;91
1;894;365
1;382;197
1;391;402
1;904;287
1;903;365
1;394;273
1;907;409
1;908;267
1;397;474
1;398;448
1;912;498
1;914;90
1;915;293
1;920;10
1;408;174
1;409;465
1;411;251
1;415;291
1;417;20
1;418;470
1;419;321
1;933;176
1;935;213
1;427;24
1;428;6
1;942;168
1;943;150
1;430;275
1;946;97
1;437;117
1;949;311
1;439;15
1;952;80
1;954;245
1;955;385
1;965;352
1;454;410
1;968;103
1;970;75
1;972;343
1;462;85
1;978;95
1;467;354
1;466;110
1;982;242
1;983;95
1;472;312
1;985;183
1;986;432
1;471;294
1;476;228
1;477;481
1;478;470
1;475;341
1;480;274
1;993;52
1;482;229
1;484;326
1;997;25
1;485;282
1;488;13
1;493;248
1;498;16
